date,gun_violence
2007-12,0
2008-01,13
2008-02,13
2008-03,13
2008-04,12
2008-05,13
2008-06,12
2008-07,12
2008-08,12
2008-09,10
2008-10,11
2008-11,10
2008-12,10
2009-01,11
2009-02,10
2009-03,20
2009-04,15
2009-05,10
2009-06,10
2009-07,10
2009-08,9
2009-09,9
2009-10,9
2009-11,9
2009-12,8
2010-01,8
2010-02,16
2010-03,8
2010-04,13
2010-05,17
2010-06,53
2010-07,9
2010-08,17
2010-09,32
2010-10,24
2010-11,12
2010-12,10
2011-01,10
2011-02,6
2011-03,6
2011-04,8
2011-05,6
2011-06,12
2011-07,11
2011-08,11
2011-09,21
2011-10,11
2011-11,16
2011-12,24
2012-01,15
2012-02,17
2012-03,20
2012-04,12
2012-05,16
2012-06,20
2012-07,13
2012-08,10
2012-09,31
2012-10,14
2012-11,67
2012-12,100
2013-01,65
2013-02,52
2013-03,34
2013-04,31
2013-05,9
2013-06,16
2013-07,13
2013-08,18
2013-09,10
2013-10,15
2013-11,19
2013-12,12
2014-01,12
2014-02,4
2014-03,12
2014-04,17
2014-05,14
2014-06,9
2014-07,12
2014-08,9
2014-09,4
2014-10,9
2014-11,7
2014-12,13
2015-01,5
2015-02,8
2015-03,6
2015-04,9
2015-05,17
2015-06,10
2015-07,12
2015-08,15
2015-09,40
2015-10,17
2015-11,28
2015-12,39
2016-01,9
2016-02,15
2016-03,8
2016-04,7
2016-05,21
2016-06,16
2016-07,15
2016-08,24
